ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1969,,,,,,680000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1970,,,,,,1314000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1971,,,,,,1392000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1972,5831000,,,1.14E+12,,1592000,,0.273023495,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1973,6630000,33000,,7.37E+11,,1336000,,0.201508296,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1974,7121000,,,4.94E+11,,1149000,,0.161353742,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1975,8841000,,,4.33E+11,,1439000,,0.162764393,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1976,7584000,253000,,8.30E+11,,2587000,,0.341112869,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1977,6254000,22000,,8.55E+11,,2987000,,0.477614327,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1978,6119000,,,5.51E+11,,1916000,,0.313123059,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1979,6576000,,,5.92E+11,,1783000,,0.27113747,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1980,8219000,,,4.66E+11,,1648000,,0.200511011,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1981,4489000,316000,,6.11E+11,,1986000,,0.442414792,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1982,4205000,106000,,6.12E+11,,1760000,,0.418549346,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1983,4772000,100000,,1.83E+11,,2358000,,0.494132439,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1984,3303000,109000,,47000000000,,1477000,,0.44716924,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1985,1087000,,,9000000000,,868000,,0.798528059,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1986,157000,,,46000000000,,123000,,0.78343949,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1987,107000,34000,,22000000000,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1988,361000,,,1.95E+11,,0,,0,N Atlantic,E
